,StationName,mosque,point_of_interest,beauty_salon,embassy,car_dealer,hardware_store,liquor_store,bakery,florist,cemetery,general_contractor,premise,aquarium,stadium,electrician,travel_agency,local_government_office,storage,meal_takeaway,park,school,food,library,airport,neighborhood,gas_station,bicycle_store,movie_theater,university,bus_station,grocery_or_supermarket,book_store,secondary_school,spa,car_rental,health,doctor,movie_rental,electronics_store,home_goods_store,shoe_store,museum,police,cafe,locality,shopping_mall,laundry,finance,taxi_stand,pharmacy,church,moving_company,painter,establishment,synagogue,post_office,real_estate_agency,atm,funeral_home,courthouse,place_of_worship,drugstore,train_station,hair_care,night_club,bowling_alley,jewelry_store,meal_delivery,restaurant,accounting,car_wash,locksmith,clothing_store,political,subway_station,plumber,furniture_store,gym,primary_school,veterinary_care,bank,insurance_agency,store,physiotherapist,department_store,pet_store,dentist,parking,amusement_park,lawyer,bar,transit_station,tourist_attraction,supermarket,art_gallery,lodging,fire_station,roofing_contractor,hospital,car_repair,convenience_store
0,Ballston Metro / Stuart St & 9th St N,0,58,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,8,0,0,1,0,0,0,1,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,58,0,0,4,0,0,0,0,0,0,0,0,0,0,1,8,0,1,0,0,2,1,0,0,0,0,0,1,1,1,0,0,0,4,0,0,0,3,1,0,0,0,4,0,0,0,0,0
1,Fairfax Dr & N Randolph St,0,58,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,10,1,0,1,0,0,0,2,0,0,0,0,1,0,8,5,0,0,0,0,0,0,2,1,0,0,7,0,0,0,0,0,58,0,0,5,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,2,1,0,0,0,0,0,3,2,5,0,0,0,1,0,0,1,2,1,0,0,0,2,0,0,0,0,1
2,Jefferson Memorial,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0
3,Good Hope Rd & 14th St SE,0,58,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0,1,0,0,8,0,0,3,0,0,58,0,0,2,2,0,0,3,0,0,0,0,0,0,0,2,4,0,0,0,2,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
4,Glebe Rd & 11th St N,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,15,10,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,58,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,1,1,3,0,0,0,1,1,0,6,1,0,0,0,0,1,0,0,0,1,0
5,Wilson Blvd & N Quincy St,0,58,1,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,2,0,2,7,1,0,1,0,0,0,1,0,0,0,0,1,1,12,5,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,58,0,0,5,2,0,0,0,0,0,2,0,0,0,2,4,0,0,0,1,2,0,0,0,1,0,0,2,1,7,0,0,0,2,1,0,1,1,0,0,0,0,3,0,0,0,0,1
6,GMU / Fairfax Dr & Kenmore St,0,58,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,6,2,0,1,1,0,0,6,0,1,0,0,0,0,5,1,1,0,0,1,1,0,0,1,0,0,5,0,0,2,0,0,58,0,0,1,2,0,0,2,0,0,0,1,0,0,0,5,1,0,0,1,2,0,0,0,1,0,0,0,1,6,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,5,0
7,Gallaudet / 8th St & Florida Ave NE,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,2,0,0,1,0,0,0,4,0,0,0,0,0,1,14,12,0,0,1,0,1,0,0,1,0,1,3,0,0,0,0,0,58,0,1,2,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,1,0,0
8,20th & L St NW,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,1,18,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,58,0,0,2,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,8,1,0,9,3,0,0,0,0,2,0,0,1,0,0
9,12th & L St NW,0,58,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,9,4,0,0,0,0,3,0,0,0,0,0
