,Station_Number,StationName,cluster
0,31037,Ballston Metro / Stuart St & 9th St N,1
1,31034,Fairfax Dr & N Randolph St,1
2,31249,Jefferson Memorial,6
3,31803,Good Hope Rd & 14th St SE,1
4,31038,Glebe Rd & 11th St N,4
5,31039,Wilson Blvd & N Quincy St,4
6,31040,GMU / Fairfax Dr & Kenmore St,1
7,31508,Gallaudet / 8th St & Florida Ave NE,4
8,31250,20th & L St NW,4
9,31251,12th & L St NW,1
10,31252,21st St & Pennsylvania Ave NW,3
11,31253,19th & K St NW,8
12,31041,Prince St & Union St,2
13,31042,Market Square / King St & Royal St,2
14,31043,Saint Asaph St & Pendleton  St,1
15,31044,King St & Patrick St,2
16,31254,15th & K St NW,8
17,31045,Commerce St & Fayette St,2
18,31046,Henry St & Pendleton St,1
19,31047,Braddock Rd Metro,5
20,31048,King St Metro South,8
21,31255,24th & N St NW,3
22,31256,10th & E St NW,8
23,31257,22nd & I St NW / Foggy Bottom,3
24,31049,Utah St & 11th St N,4
25,31050,Barton St & 10th St N,6
26,31051,Arlington Blvd & N Queen St,5
27,31258,Lincoln Memorial,6
28,31259,20th St & Virginia Ave NW,1
29,31265,5th St & Massachusetts Ave NW,2
30,31308,39th & Veazey St NW,4
31,31309,Fessenden St & Wisconsin Ave NW,4
32,31627,3rd & M St NE,1
33,31053,Columbia Pike & S Courthouse Rd,1
34,31054,Walter Reed Dr & 16th St S,5
35,31055,28th St & S Meade St,1
36,31114,18th St & Wyoming Ave NW,2
37,31403,5th & Kennedy St NW,5
38,31405,Georgia Ave & Emerson St NW,1
39,31406,14th & Upshur St NW,5
40,31407,14th St & Colorado Ave NW,5
41,31056,Troy St & 26th St S,3
42,31057,Four Mile Run Dr & S Shirlington Rd,4
43,31058,Columbia Pike & S Oakland St,2
44,31059,Four Mile Run Dr & S Walter Reed Dr,5
45,31060,S Arlington Mill Dr & Campbell Ave,2
46,31061,Kenmore St & 24th St S,1
47,32006,13th St & Eastern Ave,1
48,31312,Wisconsin Ave & O St NW,2
49,31062,Roosevelt Island,1
50,31310,Connecticut & Nebraska Ave NW,2
51,31267,17th St & Massachusetts Ave NW,1
52,31117,15th & Euclid St  NW,1
53,31629,8th & East Capitol St NE,1
54,31509,New Jersey Ave & R St NW,2
55,31630,15th & East Capitol St NE,5
56,31631,8th & F St NE,5
57,31510,18th St & Rhode Island Ave NE,5
58,31632,15th & F St NE,5
59,31511,12th & Irving St NE,5
60,31800,Alabama & MLK Ave SE,1
61,31807,Pleasant St & MLK Ave SE,4
62,31512,Neal St & Trinidad Ave NE,5
63,31268,12th & U St NW,2
64,31063,S George Mason & Four Mile Run Dr,5
65,31064,Gravelly Point,6
66,31065,Pershing Dr & Wayne St,4
67,31066,Columbia Pike & S Orme St,1
68,31269,3rd St & Pennsylvania Ave SE,2
69,31270,8th & D St NW,8
70,31118,3rd & Elm St NW,5
71,31513,Rhode Island Ave & V St NE,5
72,31271,Constitution Ave & 2nd St NW/DOL,1
73,31272,Washington & Independence Ave SW/HHS,4
74,31633,Independence Ave & L'Enfant Plaza SW/DOE,5
75,31514,Hamlin & 7th St NE,5
76,31067,Columbia Pike & S Walter Reed Dr,2
77,31068,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,2
78,31069,Pershing Dr & N George Mason Dr,5
79,32001,Fenton St & New York Ave,5
80,32002,Bethesda Ave & Arlington Rd,2
81,32003,Montgomery Ave & Waverly St,1
82,32004,Fallsgrove Blvd & Fallsgrove Dr,2
83,32005,Traville Gateway Dr & Gudelsky Dr,1
84,32000,Norfolk Ave & Fairmont St,2
85,32007,E Montgomery Ave & Maryland Ave,8
86,32008,Cordell & Norfolk Ave,1
87,32009,Frederick Ave & Horners Ln,7
88,32010,Philadelphia & Maple Ave,5
89,32011,Maple & Ritchie Ave,5
90,32012,Silver Spring Metro / Colesville Rd & Wayne Ave,4
91,32013,Montgomery & East Ln,1
92,32014,Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,4
93,31119,14th & Belmont St NW,1
94,31634,3rd & Tingey St SE,2
95,31120,10th & Florida Ave NW,5
96,31635,Potomac Ave & 8th St SE,1
97,32015,Crabbs Branch Way & Redland Rd,7
98,32016,Fallsgrove Dr & W Montgomery Ave,5
99,32017,Monroe St & Monroe Pl,8
100,32018,Needwood Rd & Eagles Head Ct,7
101,32019,East West Hwy & Blair Mill Rd,1
102,32020,Crabbs Branch Way & Calhoun Pl,1
103,32021,47th & Elm St,1
104,32022,Dennis Ave & Amherst Ave,3
105,32023,Montgomery College / W Campus Dr & Mannakee St,5
106,32024,Fenton St & Gist Ave,1
107,32025,Carroll & Westmoreland Ave,4
108,32026,Carroll & Ethan Allen Ave,5
109,32027,Battery Ln & Trolley Trail,1
110,32028,Norfolk & Rugby Ave,1
111,32029,Offutt Ln & Chevy Chase Dr,4
112,32030,Broschart & Blackwell Rd,5
113,32032,Fleet St & Ritchie Pkwy,2
114,32033,Piccard & W Gude Dr,4
115,32034,Silver Spring Transit Center - Top Level,4
116,32035,Georgia Ave & Spring St,4
117,32036,Fenton St & Ellsworth Dr,2
118,32037,King Farm Blvd & Pleasant Dr,1
119,32038,King Farm Blvd & Piccard Dr,1
120,31121,Calvert St & Woodley Pl NW,2
121,31636,New Jersey Ave & N St NW/Dunbar HS,5
122,31710,Nannie Helen Burroughs Ave & 49th St NE,5
123,31711,Deanwood Rec Center,7
124,31273,Hains Point/Buckeye & Ohio Dr SW,6
125,31070,Arlington Blvd & Fillmore St,7
126,31071,Eads St & 12th St S,1
127,32039,Old Georgetown Rd & Southwick St,4
128,32040,Friendship Blvd & Willard Ave,3
129,31637,North Capitol St & G Pl NE,1
130,31072,31st St & S Woodrow St,5
131,31073,Washington Blvd & Walter Reed Dr,4
132,31074,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,5
133,31313,Connecticut Ave & Tilden St NW,1
134,32041,Medical Center Dr & Key West Ave,3
135,32042,Shady Grove Hospital,3
136,32043,Veterans Pl & Pershing Dr,4
137,32044,Rockville Metro East,1
138,31638,1st & H St NW,1
139,31515,Fort Totten Metro,7
140,31408,Takoma Metro,1
141,31516,Rhode Island Ave Metro,2
142,31075,Rolfe St & 9th St S,5
143,31076,Shirlington Transit Center / Quincy St & Randolph St,2
144,32045,Shady Grove Metro West,7
145,32046,River Rd & Landy Ln,1
146,32047,Rockville Metro West,8
147,32048,Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,1
148,31077,Iwo Jima Memorial / Meade & 14th St N,1
149,31314,34th & Water St NW,2
150,31081,Duke St & John Carlyle St,8
151,31079,Lee Hwy & N Cleveland St,5
152,31078,Arlington Blvd & S George Mason Dr,5
153,31274,10th & G St NW,8
154,31080,Lee Hwy & N Scott St,5
155,31275,New Hampshire Ave & 24th St NW,3
156,31082,Eisenhower Ave & Mill Race Ln,1
157,31083,Potomac Greens Dr & Slaters Ln,1
158,31084,Ballenger Ave & Dulaney St,8
159,31085,Mount Vernon Ave & E Nelson Ave,2
160,31087,Monroe Ave & Leslie Ave,1
161,31088,Mount Vernon Ave & Kennedy St,4
162,31089,Court House Metro / 15th St & N Uhle St,9
163,32049,WAU / Flower Ave & Division St,3
164,31090,Long Bridge Park / Long Bridge Dr & 6th St S,1
165,31315,Connecticut Ave & McKinley St NW,2
166,31276,15th & L St NW,8
167,31277,17th & G St NW,8
168,32050,Spring St & 2nd Ave,4
169,31278,18th & R St NW,1
170,31091,Joyce St & 16th St S,6
171,31517,Union Market,2
172,31092,Lee Hwy & N Monroe St,2
173,31093,21st St & N Pierce St,4
174,31094,Lee Hwy & N Kirkwood Rd,4
175,31279,19th & G St NW,1
176,31522,2nd St & Seaton Pl NE,5
177,31902,Wilson Blvd & N Illinois St,5
178,31095,Army Navy Dr & S Nash St,7
179,31293,31st & Water St NW,8
180,31280,11th & S St NW,1
181,31096,Walter Reed Dr & 8th St S,5
182,31639,2nd & G St NE,3
183,31281,8th & O St NW,2
184,31411,Georgia & Missouri Ave NW,2
185,31712,Oklahoma Ave & D St NE,6
186,31640,Maryland Ave & E St NE,5
187,31518,New York Ave & Hecht Ave NE,2
188,31316,Yuma St & Tenley Circle NW,4
189,32052,Key West Ave & Siesta Key Way,5
